iter	Logloss
0	0.681917463
1	0.6713194376
2	0.6615918338
3	0.652332767
4	0.6419531015
5	0.6339574961
6	0.6229007008
7	0.6126226488
8	0.6027719267
9	0.5951560303
10	0.5872834593
11	0.578439482
12	0.5693146003
13	0.5616916615
14	0.554410117
15	0.5461334815
16	0.5389317942
17	0.5312199016
18	0.5239051148
19	0.515807854
20	0.5095921611
21	0.5025824662
22	0.4952776563
23	0.4896551698
24	0.482753586
25	0.4760131417
26	0.4700228513
27	0.4642633291
28	0.4573889512
29	0.4503404387
30	0.443696829
31	0.4380743844
32	0.433190985
33	0.4276636983
34	0.4212389516
35	0.4150255643
36	0.4089212103
37	0.4033616454
38	0.397613735
39	0.3929200225
40	0.3884491973
41	0.3832242358
42	0.3793103564
43	0.3749444983
44	0.370282016
45	0.3654478304
46	0.3605948647
47	0.35606007
48	0.3521232605
49	0.3475783631
50	0.3428057367
51	0.3385624309
52	0.3344758422
53	0.3300204434
54	0.3256548158
55	0.3218710763
56	0.3182713435
57	0.3139613225
58	0.3104519477
59	0.3064449436
60	0.3024155543
61	0.2987652873
62	0.2953335269
63	0.2916328933
64	0.2878033565
65	0.2848557273
66	0.2815584874
67	0.2782951606
68	0.2749665019
69	0.2720466865
70	0.2690042139
71	0.2660233634
72	0.262981813
73	0.260736193
74	0.2577295618
75	0.2551269531
76	0.2521144741
77	0.2488994808
78	0.2463306175
79	0.2442542694
80	0.2414882995
81	0.2388991681
82	0.2361946316
83	0.2339616293
84	0.2318417057
85	0.2296346308
86	0.2274628314
87	0.2249315283
88	0.2226393563
89	0.2207504524
90	0.2186956301
91	0.2166644924
92	0.2142750667
93	0.2121400519
94	0.2100715847
95	0.2077749483
96	0.2062287383
97	0.2041867434
98	0.2020731496
99	0.2001764905
100	0.1984615536
101	0.1966080299
102	0.1945557856
103	0.1929198464
104	0.1910892109
105	0.189378927
106	0.1875201215
107	0.1856579623
108	0.1843476138
109	0.182299331
110	0.1805630359
111	0.1790861821
112	0.1777372046
113	0.1757062975
114	0.1739295394
115	0.1723352579
116	0.1709513926
117	0.1693792238
118	0.1676431383
119	0.1663444226
120	0.1648074454
121	0.1633800465
122	0.162202898
123	0.1610963318
124	0.160047835
125	0.1587194506
126	0.1576907818
127	0.1564110347
128	0.1548494087
129	0.1533538797
130	0.15208674
131	0.1504538819
132	0.1492939624
133	0.1480179043
134	0.1468017809
135	0.1457344726
136	0.1445077225
137	0.1433113853
138	0.1421411954
139	0.1409016284
140	0.1399747408
141	0.1391352559
142	0.1381310054
143	0.1369790507
144	0.1360613016
145	0.1349305373
146	0.1337971006
147	0.1326319726
148	0.1316524652
149	0.1307608112
150	0.1297556699
151	0.1286560625
152	0.1277322245
153	0.1268548232
154	0.1259780926
155	0.1250197232
156	0.1240460742
157	0.1231261976
158	0.1222983769
159	0.1212518923
160	0.1203432502
161	0.1194107873
162	0.1186821906
163	0.1177155002
164	0.116843779
165	0.1160893912
166	0.1154168936
167	0.1141497643
168	0.1133142618
169	0.1125155962
170	0.1113737337
171	0.1105147351
172	0.1095826285
173	0.1091211864
174	0.1082947385
175	0.1076270303
176	0.1069685863
177	0.1060986571
178	0.105360094
179	0.104634788
180	0.1039064009
181	0.1030886304
182	0.1025382031
183	0.1018902391
184	0.1011803072
185	0.1006803932
186	0.09983551109
187	0.09916436541
188	0.09846280695
189	0.09775958218
190	0.0973273686
191	0.09684942057
192	0.09623510759
193	0.09574089469
194	0.09514169379
195	0.09440463978
196	0.09367516277
197	0.09309190184
198	0.09260395595
199	0.09211077009
200	0.09178849105
201	0.09129432008
202	0.0907874579
203	0.09031609126
204	0.08995410374
205	0.08930520697
206	0.08879257034
207	0.08833250109
208	0.08775937426
209	0.08710678855
210	0.08663436345
211	0.0861463704
212	0.08559637803
213	0.08512535724
214	0.08472578866
215	0.08422404069
216	0.08364758125
217	0.08321319832
218	0.08282233857
